Questions,Answers
"চেকের ইসু তারিখ পরিবর্তন করতে হলে কি করবো?
chequer issue tarikh poriborton korte hole ki korbo?
","চেকের তারিখ Current Date এর পূর্বের তারিখে পরিবর্তন করা যাবে না
* Accounting Transaction-Cheque মেনু হতে Cheque Issue Date Edit  নির্বাচন করতে হবে।
* Fiscal Year: এই ঘরে Fiscal Year নির্বাচন করতে হবে।
* Token No:  এই ঘরে Token No  টাইপ করে GO  বাটনে ক্লিক করতে হবে ।
* Month, Token Date, DDO, Payee Name, Current Cheque Number, Cheque Issue Date স্বয়ংক্রিয়ভাবে প্রদর্শিত হবে ।
* Cheque Issue Date: এই ঘরে চেকের তারিখ পরিবর্তন করে Save বাটনে ক্লিক করতে হবে ।
"
"একটি চেক ক্যানসেল করা হলে, সেক্ষেত্রে ঐ টোকেনে আর একটি চেক এন্ট্রি করা যাবে কিনা?
ekti cheque cancel kora hole, sekhetre aoi tokene ar ekti cheque entry kora jabe kina?
", ঐ  টোকেনে নতুন কোনো চেক এন্ট্রি করা যাবে না । কারণ চেক ক্যানসেল করা হলে একই সঙ্গে বিল Delete এবং Token Return হয়ে যায় ।
"চেক এর এডভাইস পাওয়া যায় না বলে বাংলাদেশ ব্যাংক থেকে চেক ফেরত এসেছে, এক্ষেত্রে করণীয় কি?
cheque er advice paoa jai na bole bangladesh bank theke cheque ferot esheche, ekhetre koronio ki?
",আপনাকে CGA অফিস এর  IT  শাখায় যোগাযোগ করতে হবে । কারণ CGA অফিস থেকে প্রতিদিন দুপুর ১২টা এবং ২.৩০টাই  বাংলাদেশ ব্যাংকে Bank Advice Electronically প্রেরণ করা  হয় ।
"একজন কর্মকর্তা জানালেন যে, বেতন বিলের EFT এর SMS পান নি, এক্ষেত্রে কি করবেন?
ekjon kormokorta janalen je, beton biller EFT er sms pan ni, eikhetre ki korben?
","* EFT-EFT SMS new মেনু থেকে দেখতে হবে যে EFT SMS পাঠানো হয়েছে কিনা ।
* Master Data-->Employee Contact Information থেকে কর্মকর্তার মোবাইল নম্বর সঠিক আছে কিনা দেখতে হবে । কোন কোন ক্ষেত্রে দেখা যায় Mobile No :00 অথবা ০১৭১-২৩৪৫৬৯৮ ভুল মোবাইল নম্বর এন্ট্রি করা থাকে । ভুল থাকলে তা সংশোধন করতে হবে পরবর্তী মাস থেকে নিয়মিতভাবে SMS পাবেন ।
"
"GPF ফাইনাল পেমেন্ট বিল এন্ট্রি দেওয়ার সময় জেনারেট বাটন এ ক্লিক করে দেখা গেল ক্লোসিং ব্যালান্স শূন্য প্রদর্শিত হচ্ছে, এক্ষেত্রে কি করবেন?
GPF final payment bill entry deoar somoy generate button e click kore dekha gelo closing balance shunno prodorshito hocche, ekhetre ki korben?
"," ২০১৮-১৯ অর্থবছরের GPF Opening Balance Edit and Approve করে তথ্য পরবর্তী বছরে Forward করতে হবে  ।
"
"কিভাবে ডিডিও এর তথ্য এডিট করবেন?
kivabe ddio er totya edit korben?
","* Master Data-DDO Management মেনু থেকে  DDO Information Entry (Single Step) নির্বাচন করতে হবে।
* Office Type: এই ঘরে Office Type নির্বাচন করতে হবে।
* Sub Office: এই ঘরে Sub Office নির্বাচন করতে হবে।
* GO বাটনে ক্লিক করলে নিচের টেবিল এ Bank account Name, Payee Name, Post Title, No of Staff, EFT Ceiling, Status এবং Edit  বাটন স্বয়ংক্রিয়ভাবে প্রদর্শিত হবে । 
* Edit বাটনে ক্লিক করতে হবে।
* Post, EFT Ceiling, No of Staff, Mobile, Bank Account Name, Bank Account Number, Bank Account Type, Bank, Bank Branch, Routing No  ঘরগুলোতে তথ্য স্বয়ংক্রিয়ভাবে প্রদর্শিত হবে । 
প্রয়োজনীয় তথ্য  পরিবর্তন করে Save  বাটনে ক্লিক করলে DDO তথ্য পরিবর্তন হয়ে যাবে ।
"
"অনলাইন এ বেতন বিল দাখিলকারী একজন কর্মকর্তা জানালেন যে উনার বিলের টাকার অংক ভুল আছে বিধায় বিল রিটার্ন করতে হবে. সেক্ষেত্রে কিবহবে বিল রিটার্ন করবেন?
online e beton bill dakhilkari ekjon kormokorta janalen je unar biller takar onko vul ache bidhai bill return korte hbe. sekhetre kivhabe bill return korben?
",Unapproved Bill Cancellation থেকে বিল Cancel করতে হবে ।
"অনলাইন এ দাখিলকৃত কর্মচারীর টোকেন কিভাবে খুঁজে পাবেন?
online e dakhilkrito kormocharir token kivabe khuje paben?
","Bill মেনু হতে Approve Staff Bill  নির্বাচন করতে হবে । Fiscal Year, Month of Accounting, DDO নির্বাচন করে GO বাটনে ক্লিক করতে হবে । নিচে ওই মাসের সবগুলু টোকেন প্রদর্শিত হবে ।"
"DDO অনলাইনে দাখিলকৃত বেতন বিল পাঠাতে গিয়ে একাউন্টিং Month পাচ্ছেন না, এক্ষেত্রে কি করবেন?
DDO online dakhilkrito beton bill pathate giey accounting month pacchen na, ekhetre ki korben?
","এক্ষেত্রে হিসাবরক্ষণ অফিসের মাধ্যমে নির্ধারিত সময়ে Accounting Month open করে নিতে হবে ।
* Master Data-Month-Open  হতে মাস open করতে হবে ।"
"বিল এপ্প্রভ হইয়াছে তারপর ও বিল ফেরত দেওয়ার প্রয়োজন হলে কি করবেন?
bill approve hoeiyche tarpor o bill ferot deoar proiojon hole ki korben?
",Bill মেনু হতে Approved Bill Cancellation এর মাধ্যমে বিল ফেরত দিতে হবে ।
"মাস্টার রোলে কর্মরত কর্মচারীদের বেতন কিভাবে হয়?
master role kormoroto kormocharider beton kivabe hoi?
"," মাস্টার রোলে কর্মরত কর্মচারীদের বেতন দেওয়া হয় না, তাদেরকে মজুরি বা পারিশ্রমিক দেওয়া হয়, যা কন্টিনজেন্সী বিলের মাধ্যমে হবে ।"
"বেতন বিল দাখিল করার সময় একজন কর্মকর্তা দেখলেন যে উনার গৃহ নির্মান রিনের আসল এবং সুদ উভয কর্তন হয়েছে কিন্তু শুদু সুদের কিস্তি কর্তন হবে . এক্ষেত্রে কি করবেন?
beton bill dakhil korar somoy ekjon kormokorta dekhlen je unar griho nirman riner asol ebong sud uvho korton hoieyche kintu shudu suder kisti korton hbe . ekhetre ki korben?
",বেতন বিল হতে একইসঙ্গে রিনের আসল এবং সুদ উভয়ই কর্তন করা যাই না । আসলের কর্তন শেষ হলেই শুধু সুদের কিস্তি শুরু হবে  । এ ক্ষেত্রে Loans and Advance Sanction মেনুর Loan Information এ সংশ্লিষ্ট কর্মকর্তার Installment Start Year এবং Installment Start Month সঠিকভাবে এন্ট্রি না করায় এ সমস্যা হয়েছে ।  সঠিক তথ্য এন্ট্রি দিলে এই সমস্যার সমাধান হবে । 
"১৯৭৬ সালের বেতন স্কেল অনলাইনে এন্ট্রি করা যাই না কেন?
1976 saler beton scale online e entry kora jai na keno?
",১৯৭৬ সালে কোনো বেতন স্কেল দেওয়া হয় নাই । ১৯৭৩/১৯৭৭/১৯৮৫/১৯৯১/১৯৯৭/২০০৫/২০০৯  এবং ২০১৫ সালে স্কেল প্রদান করা হয়েছে । ১৯৭৩ সালে গ্রেড-৭ থেকে ১০ মাত্র ৪টি গ্রেড বাস্তবায়ন হয়েছে ঐ ৪টি গ্রেড ব্যতীত অন্য কোনো গ্রেড সিস্টেমে রাখার সুযোগ নাই ।
"চলতি দায়িত্বর ক্ষেত্রে দায়িত্ব ভাতার বরাদ্দ না থাকলে দাইত্ত ভাতা এন্ট্রি দেওয়া যাবে কিনা?
cholti daeittor khetre daeitto vatar boraddo na thakle daietto vata entry deoa jabe kina?
","এন্ট্রি দেওয়া যাবে, অনলাইন দ্বায়িত্ব ভাতার ইকোনমিক কোড কোড এ বাজেট বরাদ্দ ছাড়া বিলে ভাতা পাওয়া যাবেনা ।"
"একজন কর্মকর্তার প্রথম মাসের বেতন এবং PRL বেতন প্রদানের জন্য করণীয় কি?
ekjon kormokortar prothom masher beton ebong PRL beton prodaner jonno koronio ki?
","* একজন কর্মকর্তা iBAS++ এ self-registration করার তারিখ হতে অনলাইনে বেতন বিল দাখিলের মাধ্যমে বেতন গ্রহণ করতে পারবে।  তবে রেজিস্ট্রেশন পূর্ববর্তী সময়ের বেতন ম্যানুয়ালি Pay Fixation  বা  NID bypass করার মাধ্যমে বেতন ও ভাতাদি নিতে পারবে ।
* PRL এর ক্ষেত্রে Service Stage Management অপশনে এর আদেশ অন্তর্ভ্যুক্ত পুর্বক বা Entry পুর্বক PRL এ বেতন নিতে পারবে
"
"NID তে নাম ঠিক থাকা সত্তেও মাস্টার ডাটা তে নাম ভুল থাকলে নাম কারেকশন করার পদ্ধতি কি?
NID te naam thik thak sotteo master data te naam vul thakle naam correction korar poddhoti ki?
",Employee Management এর Basic Information অপশন এর নিচে সংশ্লিষ্ট কর্মকর্তার NID information Re-Fetch বাটনে ক্লিক করলে NID এর বাংলা নাম সংশোধন করা যাবে।
"কর্মকর্তার Bank/Mobile information correction কারেকশন করার প্রয়োজন হলে কে কোন পদ্ধতিতে করবে?
kormokorta bank/mobile  information correction korar proyojon hole ke kon poddhotite korbe?
",ব্যাংক এর তথ্য সংশোধনের ক্ষেত্রে Bank Employee Management অপশনে যেয়ে Bank Information Sub অপশনে যেয়ে সংশোধন করা যাবে । মোবাইল নম্বর পরিবর্তন করার জন্য Employee Contact Information অপশনে যেয়ে সংশোধন করা যাবে
"এমপ্লয়ী এর Designation ভুল থাকলে অথবা পরিবর্তন করার প্রয়োজন হলে তার পদ্ধতি কি?
Employee er designation vul thakle othoba poriborton korar proiojon hole tar poddhti ki?
","Employee এর Designation  ভুল থাকলে অথবা পরিবর্তন করার প্রয়োজন হলে নিম্মবর্ণিত স্টেপসমূহ অনুসন করতে হবে-
Master Data → Employee Management→Employee Service information→ Present OPST→drop down তালিকা থেকে পদবি  select করতে হবে
"
"এমপ্লয়ী এর এডুকেশন এলাউন্স অ্যাড/রিমুভ করার প্রয়োজন হলে করণীয় কি?
Employee er education allowance add/remove korar proyojon hole koronio ki?
",শিক্ষা ভাতা প্রাপ্যতার জন্য সন্তানের বয়স ৫ বছরের অধিক এবং ২৩ বৎসরের কম হলে সর্ব্বোচ ২টি সন্তান্টির শিক্ষা ভাতা প্রাপ্য । Employee Basic Information→Family particulars of spouse→ particulars of children এরপর Employee salary information→৩১১১৩০৬  selection কোড selection করতে হবে → add or remove করা যাবে ।
"সার্ভিস স্টেজ ম্যানেজমেন্ট মেনুতে এটাচমেন্ট এন্ট্রি অন্য কখন প্রয়োজন হয়?
service stage management menute attachment entry onya kokhon proyojon hoi?
",একই মন্ত্রণালয় ও একই বিভাগের অধীনে কর্মরত কোনো কর্মকর্তা-কর্মচারী এক দপ্তর হতে অন্য দপ্তরে সাময়িক সময়ের জন্য কাজ দায়িত্ত্ব পালন করাকে  Attachment বলে । Attachment  আদেশ হওয়ার পর তখন তাকে Service Stage Menu তে Attachment সংক্রান্ত তথ্য Entry  করতে হবে ।
"একজন কর্মকর্তার বিল সাবমিশন এর সময় No data found  হলে কি করা উচিত?
ekjon kormokortar bill submission er somoy no data found hole ki kora uchit?
",একজন কর্মকর্তার Bill Submission এর সময় No data found হলে সংশ্লিষ্ট একাউন্ট অফিসের সাথে যোগাযোগ করা উচিত ।
"GPF Vol. No/Page Entry/Interest Exclude করতে কি করা প্রয়োজন অথবা ৫২ বছর পর GPF কর্তন করতে না চাইলে কি করনীয়?
GPF Vol. No/Page Entry/Interest Exclude  korte ki kora proyojon othoba 52 bochor por GPF  korton korte na caile ki koronio?
","GPF Vol. No/Page Entry এর জন্য নিম্মবর্ণিত স্টেপ অনুসরণ করতে হবে-
* Accounting Transaction→ GPF→ GPF Information→Volume No and Page No এন্ট্রি করা যাবে
* GPF Interest Excluded এর ক্ষেত্রে  GPF Subscription Configuration→ Subscription Configuration→ NID→ Go → GPF  তথ্য স্ক্রিনে Exclude Interest অপশনে টিক দিয়ে Save করলে Interest Service বন্ধ হয়ে যাবে
* ৫২ বছর পর GPF কর্তন করতে না চাইলে GPF Subscription Configuration→ Subscription Configuration→ NID→Go→GPF  তথ্য স্ক্রিনে Active অপশনে টিক চিহ্ন উঠিয়ে দিতে হবে তাহলে কর্তন GPF বন্ধ হয়ে যাবে
"
"পেনশন গমনের পর একজন কর্মকর্তার বকেয়া বেতন প্রদান করার পদ্ধতি কি?
pension gomoner por ekjon kormokortar bokeya beton prodan korar poddhoti ki?
","পেনশন গমনের পর একজন কর্মকর্তার বকেয়া বেতন প্রদান করার পদ্ধতি নিম্মরূপ: 
* Master Data→ Employee Management→ Employee Joining এ আলোচ্য কর্মকর্তাকে সংশ্লিষ্ট অফিসের সাথে লিংক স্থাপন করতে হবে। এরপর কর্মকর্তাকে  ম্যানুয়াল টোকেন পদ্ধতিতে বেতন ভাতা প্রদান করা যাবে । "
"পে-ফিক্সেশন মডিউলে প্রথম নিয়োগ, অফিস, মোবাইল নম্বর, পদবি পরিবর্তন করার জন্য কার কি করণীয়?
Pay-fixation module prothom niog, office, mobile number , podobi poriborton korar jonno kar ki koronio?
","পে-ফিক্সেশন মডিউলে এপ্রথম নিয়োগ, অফিস, মোবাইল নম্বর, পদবি পরিবর্তন করার জন্য আলোচ্য কর্মকর্তা/কর্মচারীকে সংশ্লিষ্ট একাউন্ট অফিসে যোগাযোগ করতে হবে এবং একাউন্ট অফিসার Verified Data correction  অপশনে নিম্মবর্ণিত পদ্ধতিতে তথ্য সংশোধন করবেন ।
* Entry Approval→Verified Data Correction menu তে যেয়ে তথ্য পরিবর্তন করতে পারবেন ।
"
"Loans and Advance Entry/correction করার পদ্ধতি?
loan and advance entry/correction korar poddhoti?
","Accounting Transection→ Loans and Advances→ Loan and Advance sanction অপশনে যেয়ে প্রয়োজনীয় তথ্য correction করা যাবে ।
"
"কোনো কর্মকর্তা এক চাকুরী হতে অন্য চাকুরিতে যোগদানের পর তার GPF  জমাসহ অন্যান্য বকেয়া কিভাবে প্রদান করতে হবে?
kono kormokorta ek cakuri hote onya cakurite jogdaner por tar GPF jomasho onanya bokeya kivabe prodan korte hbe?
",কোনো কর্মকর্তার এক চাকুরী হতে অন্য চাকুরীতে যোগদান করলে তার পূর্বের চাকুরীর সমুদয় অর্থ সুদসহ চুড়ান্ত পরিশোধ করতে হবে । পরবর্তীতে অন্য চাকুরিতে নতুন করে GPF হিসাব চালু করতে হবে (যদি চাকুরীর ধারাবাহিকতা না থাকে । যদি চাকুরীর ধারাবাহিকতা  থাকে তাহলে Fund Transfer অথবা Ledger Transfer করতে হবে ।
"Interest Free Car Loan, Bill payment, process?
Interest Free Car Loan, Bill payment, process?
","Interest Free Car Loan, Bill payment, Process এর ক্ষেত্রে করণীয়:
* Accounting Transaction→Loan and Advance→ Loan and Advance Sanction এ এন্ট্রি করে সেভ করার পর Token →Token Entry (others) তে যেয়ে সকল তথ্য সিলেক্ট করতে হবে ।
* Loan and Advance bill Entry→ Bill types →Accounting transaction→ Loan to Govt. Employee (72151XX)→Payee type (কর্মচারী DDO/কর্মকর্তা NID দিবে)→ Save Accounting Transaction→Loan and Advance→ Loan and Advance Bill Entry→ Bill Details এ Token No দিলে → Loan Selection এর ধরণ সিলেকশনের পর করতে হবে ।
"
"House Building Loan, Bill entry Advance, Entry, Edit etc.
House Building Loan, Bill entry Advance, Entry, Edit etc.
","House Building Loan, Bill entry Advance, Entry, Edit add এর  ক্ষেত্রে করণীয়:
* Accounting Transaction→Loan and Advance→ Loan and Advance Sanction এ এন্ট্রি করে সেভ করার পর Token →Token Entry (others) তে যেয়ে সকল তথ্য সিলেক্ট করতে হবে ।
* Loan and Advance bill Entry→ Bill types →Accounting transaction→ Loan to Govt. Employee (72151XX)→Payee type (কর্মচারী DDO/কর্মকর্তা NID দিবে)→ Save Accounting Transaction→Loan and Advance→ Loan and Advance Bill Entry→ Bill Details এ Token No দিলে → Loan Selection এর ধরণ সিলেকশনের পর করতে হবে ।
"
"Authorization এর বাজেট এর টোকেন/Bill  কিভাবে এন্ট্রি করা হয়?
authorization er budget er token kivabe entry kora hoi?
","Authorization এর বাজেট এর টোকেন এন্ট্রির পদ্ধতি:
* Accounting Transaction→ Token→ Token Entry (others)→Ministry selection/ DDO selection→ Month selection(চলতি মাস) → DDO Bill No→ Bill Type→ Payee Type→ DDO /supplier/ Concern Officer→ NID (Concern Officer হলে শুধু NID সিলেক্ট করতে হবে । যদি ডিডিও হয় তাহলে ডিডিও সিলেক্ট করতে হবে । যদি Supplier  হয় তখন supplier এর NID/TIN no/Mobile no/VAT registration নম্বর সিলেক্ট করতে হবে) এর পর Net Amount দিয়ে Save করতে হবে।
Authorization এর বাজেট এর Bill এন্ট্রির পদ্ধতি:
* Accounting Transaction→Bill→Bill Entry (others)→Ministry selection→ DDO (টোকেন দেওয়ার সময় যে ডিডিও দেওয়া হয়েছে )→office code→ Fiscal Year → Accounting Month(চলতি মাস) → Token No → Go তারপর Bill Transaction এ Details প্রদর্শিত হবে→ এই স্ক্রিনে Economic Code→Organization→ Operation/ General/ Activity→ Mode of Financing→ Debit ও Credit এ Amount Entry→Save করতে হবে ।
"
"এমপ্লয়ী এর NID কখন, কেন প্রয়োজন হয়?
employee er information kokhon, keno proyojon hoi?
",একজন কর্মকর্তা/কর্মচারী Online Pay Bill দাখিল করার জন্য iBAS++ সিস্টেমে কর্মকর্তা/কর্মচারীর  তথ্যাদি এন্ট্রির সময় NID  প্রয়োজন হয় ।
"গ্যাসের বিলের ক্ষেত্রে কোড না পেলে কোন কোড Entry করবে?
gaser biller khetre code na pele kon code entry korbe?
","গ্যাস এর বিলের কোডসমূহ:
১. ৮১৭২৪০১-  তিতাস গ্যাস বিল
২. ৮১৭২৪০২- বাখরাবাদ গ্যাস বিল
৩. ৮১৭২৪০৩- জালালাবাদ গ্যাস বিল
৪. ৮১৭২৪০৪- কণফুলী গ্যাস বিল
৫. ৮১৭২৪০৫-  পশ্চিম  অঞ্চল গ্যাস বিল
 Employee Salary Information→Next→ Deduction→ Gas code selection→Fund এর Drop Down মেনুতে→ (20000000) Public Account of the Republic →Amount→add→save গ্যাস এর বিলের ক্ষেত্রে কোড না পেলে বর্ণিত ৫টি কোড  হতেনির্ধারিত  কোড সিলেক্ট করে Entry করা যাবে । 
"
"ডিডিও হিসেবে ইউসার জয়েনিং অথবা রিলিজ করার পদ্ধতি কি এবং ডিডিও ইউসার রেজিস্ট্রেশন কিভাবে করবে?
DDIO hisebe User joining othoba release korar poddhoti ki? ebong DDIO user registration kivabe korbe?
","DDO মডিউলের DDO  হিসেবে  Online Pay Bill Menu তে DDO একজন কর্মচারীর  release এবং joining দিতে পারবে । সে ক্ষেত্রে নিম্ম বর্ণিত স্টেপসমূহ অনুসরণ করতে হবে - 
* Budget Execution→Online Pay Bill→Release an Employee
* Budget Execution→Online Pay Bill→ Employee joining
"
"কর্মকর্তার মৃত্যুতে নতুন ডিডিও নিয়োগ করা হয় সেক্ষেত্রে মৃত কর্মকর্তার পেমেন্ট পদ্ধতি কি?
kormokortar mritute notun DDIO niog kora hoi sekhetre mrito kormokortar payment poddhoti ki?
",মৃত ব্যক্তির জন্য যে ডিডিও নিয়োগ করা হয় সে ক্ষেত্রে সংস্লিষ্ট ডিডিও এর ব্যাঙ্ক একাউন্ট থেকে মৃত ব্যক্তির প্রাপ্য বেতন ও বাতাস যাবতীয় পাওনা (পেনশন ও গ্রাচুইটি ব্যাতিত) পরিশোধ করা যাবে ।
"ডিডিও এর মোবাইল নম্বর পরিবর্তন করার প্রয়োজন আছে কি? থাকলে কেন এবং কি করণীয়?
DDIO er mobile number poriborton korar proyojon ache ki? thakle keno ebong ki koronio? 
","* DDO এর মোবাইল নম্বর পরিবর্তন করার প্রয়োজন আছে কারণ অনলাইন পে-বিল Submit  এর পরে ডিডিও এর মোবাইল এ OTP মেসেজ যাবে ।
* যেহেতু OTP ছাড়া কর্মকর্তার বেতন বিল অনলাইন Submission  করা যাই না সে ক্ষেত্রে ডিডিও বদলি হলে তার  স্থলে অন্য একজন কর্মকর্তার যদিও এর পালন করলে তার মোবাইল নম্বর টি প্রতিস্থাপিত হবে ।
* করণীয়: iBAS++  এর সাপোর্ট টীম এর সাথে যোগাযোগ করে ডিডিও এর মোবাইল নম্বর পরিবর্তন করতে হবে।
"
"What to do to open a new DDO? 
","To open a new DDO-
* As per Treasury Rule SR 65 appointment of DDO should have GO issued by the Ministry.
* Specimen signature of the new DDO should be attested by the previous DDO and sent
* DDO Information Form must be filled up
* DDO data entry should be done by CAFO of concerned ministry
"
"Do employees' salary bills have to be submitted to DDO? 
",Yes. DDO is responsible for filing and forwarding the salary bills of the employees.
"How many data entries of an employee can be billed through EFT? 
","Bills can be paid through EFT after entry, storage and approval of personal information, employment information and bank account information. But it is better to enter all the information according to the form."
"What to do in case of employee type of an employee (officer to staff, staff to office)? 
","A) Master Data-->Employee Type Change Request->NID with current type Select Employee Type to change(Correct), Select Reason: The reason for Type Change should be mentioned [auditor should give correct entry].

B) Master Data--> Employee Type Change Approve [to be approved by A&AO]
"
" What are the reasons for bypassing NID? What are the steps of NID bypass? 
","NID Bypass has to be done for following reasons-
* Partial Salary for new appointment.
* Partial salary for Fractional bill (Bill pending before UserID registration)
* Employee from Defense to Civil Contractual Service.

Steps of NID Bypass:
* Master Data--> Employee Management-->NID Bypass Entry
* Master Data--> NID Bypass Check (New) [To be approved by A&AO]
* Master Data-->NID Bypass Approve (New) to be approved by DCA/CAO/FC/SFC]
"
"What to do in editing religion information? 
",Master Data--> Employee Management--> Religion Information Edit
"What to do in that case if the number of the smart card is given after the correction?
","In this case, the salary determination must be revised first. The NID number with which the pay-fixation is done will be effective."
" While entering staff information in ibas++ error message is displayed ""Employee note active in other post"" What to do in this case?
",Staff should be joined by the designated DDO of the correct office through Master Data-->Employee Management-->Employee Joining menu.
" DDO Budget Execution-->Staff Information Entry, Employee - Basic Information, Service Information, Salary Information, GPF Information with respect to any employee NID in master data error message is displayed “You are not authorized to view this employee” - What to do in this case What?
","From the employee status, check the employee's office and under which DDO the entry is made. It should be remembered that the staff information is entered from the user ID and the staff should be released and joined by the designated DDO of the correct office using the user ID."
"In Release an Employee Screen While releasing any employee - error message is displayed in the case of staff ""Employee has staff pay bill in batch pending. Please clear those pending bills and try again "" and in the case of officers ""employee has bill for officers pending. Please clear those pending bills and try again""  What to do in this case?
","In both cases, the pending bill information of the concerned employee should be cleared or canceled/returned through Token/Bill after knowing from Reports-->Token Reports-->Token Search by NID report. Then release the employee through the Release an Employee screen"
"After submitting the salary bill as a SDO(Self Drawing Officer), it was found that he is the DDO of the concerned office. What to do in this case?
","In order to get DDO (Drawing and Disbursing Officer) Role with the help desk, there should be a GO issued by the Ministry for appointment of DDO as per Treasury Rule SR 65. And DDO Information Form should be submitted by FIll-up."
"What is the process of correction of an officer's NID (same as Pay Fixation) ?
","To change the NID number of an officer follow the steps below-
* Select Master Data-Employee Management-Change Employee NID
* Pay Point: Pay Point will be displayed automatically in this cell
* Ministry: This Ministry should be selected
* DDO: Select DDO in this cell
* Office Code: will be displayed automatically
* Clicking the GO button will show Existing NID, Name, Designation, New NID, Save button under the Employee section.
* New NID: Type the correct NID in this box and click the button
"
"What to do if an officer has more than one NID ?
","Multiple NIDs must be Marge using Merge Employee NID menu via CAFO/DCA
"
"Why is the Employee Status screen used?
","From Employee Status, Employee - NID Employee Name, Employee Type, Pay Point, Designation, Date of Birth, Mobile no, Office, Own DDO, GPF Number, Bank/branch Office and under which DDO the entry is made can be known. 
"
"BUDGET EXECUTION BY DDO -->ERROR  MESSAGE DISPLAYED “Invalid NID with DOB” WHILE ENTERING INFORMATION IN STAFF INFORMATION ENTRY FOR AN EMPLOYEE IN MASTER DATA. WHAT TO DO IN THAT CASE ?
","If the NID entered in Staff's Budget Execution-->Master Data-->Employee Information Entry does not match with the Pay Fixation NID, such a message is displayed.
"
"An error message ‘Invalid date’  is displayed while clicking on the save button after the entry of an employee's information (Personal, Family & Bank). What to do in this case?
","6(a) of Pay Fixation If the first joining date is blank or incorrect then such message is displayed
"
"In ibas++after verifying the employee's information What to do for  the correction of  his/her own parent's name?
","Click on Master Data->Employee Management->Employee Basic Information->Select Employee Type->NID->Go->NID Info Re-Fetch button, Bengali name will be displayed in favor of NID, English name has to be typed"
"What to do if the ‘First joining date/office not found in Pay Fixation’ message is displayed while entering information in ibas++?
","Pay Fixation information will be corrected from the Respective Accounts office (using Pay Fixation >Verified data Fixation” correction menu).
"
"What to do if an employee's spouse doesn't have NID while entering information in ibas++?
","iBAS++ Spouse's NID is mandatory. If there is no NID, leave it blank. As soon as possible, after registration, edit the information and make the entry"
"3111306- In the case of Education Allowance, if the child is aged (5-23), but both parents are government employees, what should be done regarding the availability of the child's education allowance?
","Spouse will enter details of either child, but will get an education allowance along with one's salary. Mother will be given priority in availing child education allowance.
"
"An error message  ‘Your pay point is not matched with the pay fixation of this employee. Please check the fixation or contact with Account office to his fixation.’  is displayed while entering the information in the employee information entry with respect to an employee's requirement in the master data. What to do in this case?
","Pay Fixation information should be corrected from Respective Accounts office
"
"What is the process of receiving salary from ibas++ if someone joins the job in the middle of the month?
","In case of partial bill, the bill has to be submitted manually (in hard copy) through the accounting office
"
"Employee information should be entered first or group should be created first?
","First enter the employee information, then create the group
"
"In Employee Salary Information, salary allowances and deductions are given against the economic code. What to do in this case?
","If there is no economic code permission against office code, helpdesk should be taken
"
"An officer cannot find his salary month while submitting salary bill online, what to do in this case?
","An officer cannot submit multiple salary bills in the same Salary Month. In this case, check whether the Token of that Salary Month has already been applied to the officer. To find the salary information along with the salary token number of the respective month, it should be known from the report whether the salary bill of that month has already been submitted.
  In case of a partial bill in the joining month, the bill must be submitted manually through the accounting office."
"After submitting the pay bill online, an officer finds that the pay bill cannot be found for forwarding to his DDO's id, what to do in this case?
","Accounting office knows Employee Name, Employee Type, Pay Point, Designation, Date of Birth, Mobile no, Office, Own DDO, GPF Number, Bank/Branch Office and under which DDO entry is made with respect to Employee - NID Must be, and pay bill forwarded with proper DDO
"
How to enter PRL bill?,"Save with correct detailed entry in Master Data-->Service Stage Management-->PRL Entry option. After approval of PRL information by the Accounts Office/DDO, bills for full month and partial bills should be submitted manually (in hard copy) through the Accounts Office."
"What is Master Data → Service Stage Management ?
","Service Stage Management: In order to facilitate the service of government employees from iBAS++ and to avoid the hassle of going to and from the accounting office, the following new options under the title of Service Stage have been added to the iBAS++ system.
* After clicking Service Stage Management, under Stages:
* Attachment: (Official holding a permanent post in a department working temporarily against his original post attached to any other department within a Ministry/Department)
* PRL: Retirement Northern Leave Benefit
* Deputation:
Deputation (Budgetary Central Govt)
Deputation (Outside the budgetary central government)
Lien: To work temporarily in any project/programme/organization or organization outside of direct revenue subject to the permission of the government while keeping the original position of the officer of a ministry/department under the government revenue budget intact.
Suspension: Suspension from employment
Leave: Leave
"
"What is Partial Bill?
","Stages of employment [“Attachment”, “PRL Entry”, “Deputation”, “Lien”, “Suspension”, “Leave”] in all cases do not start on the 1st date of any calendar month and end on the last date of the calendar month. With the change of stage in the service, in most cases the allowance changes Partial Bills are payable in cases where the commencement and termination dates are not on the first and last dates of the month, but on any date in between."
"When to use Map Office with Region and Map Employee with Region?
","a) Map Office with Region - This option should be used if all the officers/employees are located outside the region.
b) Map Employee with Region - If the location of the concerned office is in the city area but the workplace of a part of the staff/employees is outside the city area, then this option has to be used.
Caution: These 2 options have been added only for the Accounts Officers of those City Areas where the mentioned problem exists. These options are not applicable to all accounting officers.
"
"If the child's birth is not registered, can his name be added?
","Name cannot be added, must be left blank. As soon as possible after birth registration, edit the information and give the birth registration entry."
"Can nominee names be changed in future funds?
",Yes. The nominee can be changed through the officer who has opened the account in the account keeping office by filling up GPF 9B and 9C forms.
